Product_url,brand,Title,Description,Sale_price,MRP,Discount_percentage,Seller_name,seller_rating,Number_of_ratings,Number_of_reviews,UPC,Star_rating_of_the_product,Color,Model,Headphone Type,Is sweatproof,Is water resistant,Microphon,Connectivity,Battery life
https://www.flipkart.com/jbl-t450bt-extra-bass-bluetooth-headset/p/itmabc80a365c0d0?pid=ACCEXBNK9ZZMUN4Y,JBL,"JBL T450BT Extra Bass Bluetooth Headset  (Black, On the Ear)","Shake a leg, headbang, or groove to your favorite songs without disturbing others with the JBL T450 BT Bluetooth Headset. This mobile accessory features a Flat and Foldable Design, Bluetooth Connectivity, and JBL Pure Bass Sound for an immersive aural experience wherever you go.",2499,3499,28,CORSECA,4.7,67108,7473,ACCEXBNK9ZZMUN4Y,4.2,Black,T450 BT,On the Ear,Not available,Not available,Yes,Bluetooth,11
https://www.flipkart.com/sennheiser-hd-4-30i-wired-without-mic-headset/p/itmdb2da4720b1ea?pid=ACCES9Q2ETDHZ5QB,Sennheiser,"Sennheiser HD 4.30i Wired without Mic Headset  (Black, On the Ear)","The Sennheiser HD 4.30i headphones feature a three-button smart remote on the tangle-free cable, so you can conveniently take calls and control your music on the go. They feature a compact and foldable design to fit in easily in your bag or backpack. Crafted from premium materials, these headphones are sturdy and durable. Their leatherette ear pads keep out much of the ambient noise, offering you an impressive aural experience.",7990,8990,11,SuperComNet,4.6,5,0,ACCES9Q2ETDHZ5QB,4,Black,HD 4.30i,On the Ear,Not available,Not available,No,Wired,Not available
https://www.flipkart.com/jbl-endurance-sprint-bluetooth-headset/p/itmef0bcb68c7a09?pid=ACCF8CF7DYRTTJFP,JBL,"JBL Endurance Sprint Bluetooth Headset  (Teal, In the Ear)","Let nothing stop your workout. Wireless and IPX7 waterproof, the JBL Endurance SPRINT headphones are always up for a run, and with Speed Charge you can get an hour of listening time after charging the 8hr battery for just 10 minutes. Supremely comfortable with FlexSoft ear tips and TwistLock technology, these secure fit buds were designed from the ground up to amplify your workout. They're guaranteed never to hurt or fall out, while touch controls let you easily manage music and MagHook� lets you secure them conveniently close at hand when you're done using them.",3299,4199,21,CORSECA,4.7,993,123,ACCF8CF7DYRTTJFP,3.8,Teal,Endurance Sprint,In the Ear,Not available,Yes,Yes,Bluetooth,Not available
https://www.flipkart.com/sennheiser-pc-8-usb-wired-headset/p/itm725f8c6c51662?pid=ACCDAYUJDUWRJEDX,Sennheiser,"Sennheiser PC 8 USB Wired Headset  (Black, On the Ear)","Be it while Skyping or while playing online multiplayer games, enjoy crisp communication with this pair of Sennheiser headset. It features USB Plug & Play that makes it easy for you to connect to your laptop or desktop.",2990,2990,0,TRUE-TECH,4.6,952,121,ACCDAYUJDUWRJEDX,4.3,Black,PC 8 USB,On the Ear,Not available,Not available,Yes,Wired,Not available
https://www.flipkart.com/jbl-original-t50hi-wired-headset/p/itm5557ae5dfdd00?pid=ACCG288HSYKA2W4H,JBL,"JBL Original T50HI Wired Headset  (Red, In the Ear)",Description Not available,699,999,30,GreatWorld,4.8,9,1,ACCG288HSYKA2W4H,3.2,Red,Original T50HI,In the Ear,Yes,No,Yes,Wired,Not available
https://www.flipkart.com/jbl-t110bt-bluetooth-headset/p/itm5a8a976a34feb?pid=ACCFYXN8Q2FAQ7GS,JBL,"JBL T110BT Bluetooth Headset  (Blue, In the Ear)","Featuring JBL Pure Bass Sound, the JBL T110BT headphones offer a grab 'n' go, wireless solution for your everyday usage along with the ability to make or take hands free calls and 6 hours of battery life. Imagine headphones that quickly charge in 2 hours, come in 6 distinctive colors, feature a flat tangle free cable and are lightweight enough to comfortably wear for hours on end. And when you combine magnets that ensure the headphones are not dangling when not in use, the tangle-free cable and the comfort of the ergonomic ear-tips and neckband design, its easy to see how the JBL T110BT headphones can become an essential part of your day-to-day music loving life.",1749,2499,30,ElectropStore,4.3,28179,2991,ACCFYXN8Q2FAQ7GS,3.9,Blue,T110BT,In the Ear,Not available,No,Yes,Bluetooth,6
https://www.flipkart.com/sony-wi-c310-wireless-in-ear-headphones-mic-bluetooth-headset/p/itmaa6e5ed280491?pid=ACCG2WTABXHF9TDZ,SONY,"SONY WI-C310 Wireless In-Ear Headphones with Mic Bluetooth Headset  (Black, In the Ear)","These Sony Earphones are here to ensure that even your dullest days can be made bright and happening by filling your time with lively tunes. It offers a battery life of up to 15 hours so that you can listen to all your favourite playlists at one go. And, with just 10 minutes of charging, you can enjoy up to 60 minutes of music playback. This way, you don’t have to wait for a long time to listen to your favourite songs.",3290,3290,0,BestU,4.2,0,0,ACCG2WTABXHF9TDZ,Not available,Black,WI-C310 Wireless In-Ear Headphones with Mic,In the Ear,Not available,Not available,Yes,Bluetooth,Not available
https://www.flipkart.com/apple-airpods-pro-wireless-charging-case-active-noise-cancellation-enabled-bluetooth-headset/p/itmf54912ef1bd8b?pid=ACCFHYJ8ZU9WDHDW,Apple,"APPLE Airpods Pro With Wireless Charging Case Active noise cancellation enabled Bluetooth Headset  (White, True Wireless)",Description Not available,23900,24900,4,TrueComRetail,4.2,15485,1303,ACCFHYJ8ZU9WDHDW,4.5,White,MWP22HN/A,True Wireless,Not available,Not available,Yes,Bluetooth,24
https://www.flipkart.com/beats-powerbeats3-bluetooth-headset/p/itmbec098524a53a?pid=ACCFGKYFHY5HEEUR,Beats,"Beats Powerbeats3 Bluetooth Headset  (Black, In the Ear)",Description Not available,16500,16500,0,SuperComNet,4.6,293,32,ACCFGKYFHY5HEEUR,4.1,Black,ML8V2ZM/A,In the Ear,Not available,Not available,Yes,Bluetooth,Not available
https://www.flipkart.com/sony-wi-c310-bluetooth-headset/p/itm88a7ea62b549c?pid=ACCFGWBDJDZZH2ST,SONY,"SONY WI-C310 Bluetooth Headset  (Gold, In the Ear)","These Sony Earphones are here to ensure that even your dullest days can be made bright and happening by filling your time with lively tunes. It offers a battery life of up to 15 hours so that you can listen to all your favourite playlists at one go. And, with just 10 minutes of charging, you can enjoy up to 60 minutes of music playback. This way, you don’t have to wait for a long time to listen to your favourite songs.",2895,2990,3,TRUE-TECH,4.6,8170,695,ACCFGWBDJDZZH2ST,4.1,Gold,WI-C310,In the Ear,Not available,Not available,Yes,Bluetooth,Not available
