"link";"price";"crawled_date"
"https://www.flipkart.com/zebronics-zeb-bang-bluetooth-headset-headset/p/itma4bbe77eeb391?pid=ACCFZ2TMKAFUJZQZ";1499;"2021-06-07"
"https://www.flipkart.com/jbl-tune-750btnc-bluetooth-headset/p/itm2c7c2287d5180?pid=ACCFMJBJHYWADYD9";5699;"2021-06-07"
"https://www.flipkart.com/boat-bassheads-100-wired-headset/p/itme3467cabfc2d5?pid=ACCEVQYZUUT8A284";399;"2021-06-07"
"https://www.flipkart.com/sennheiser-hd-2-30i-w-bluetooth-without-mic-headset/p/itmc87b8b4d945a9?pid=ACCES9QAGWVHYJEC";6990;"2021-06-07"
"https://www.flipkart.com/sennheiser-cx-400bt-bluetooth-headset/p/itm280216b44104f?pid=ACCFVGUUHFGJJHCK";13990;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-sound-bomb-true-wireless-bt-earphone-bluetooth-headset/p/itmc467a7e31d2b6?pid=ACCFMANZN2AHFSS7";1425;"2021-06-07"
"https://www.flipkart.com/skullcandy-s2duyk-628-wired-headset/p/itm021dca86ea235?pid=ACCFT46ZEWAZ6N9F";749;"2021-06-07"
"https://www.flipkart.com/skullcandy-ear-headphones-mic-wired-headset/p/itmca8d72a28b34a?pid=ACCFZVMXRNRFGGHY";6121;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-calyx-wired-headset-black-ear/p/itma7e55b1e458df?pid=ACCFYB97HWYMTCCQ";224;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-paradise-wirelewss-bluetooth-headset/p/itm5af8b04c64e6d?pid=ACCFV5MVZ9HCGZ4C";1050;"2021-06-07"
"https://www.flipkart.com/zebronics-storm-blue-wired-without-mic-headset/p/itm71c79ec15e838?pid=ACCECHX6VEGWMRPB";629;"2021-06-07"
"https://www.flipkart.com/boat-bassheads-104-wired-headset/p/itme0bcebe0a355e?pid=ACCGF76Y4YQ3JQJN";399;"2021-06-07"
"https://www.flipkart.com/jbl-endurance-dive-bluetooth-headset/p/itmb6d3c7ebffb68?pid=ACCF8CF7QK8KVRKQ";5891;"2021-06-07"
"https://www.flipkart.com/apple-airpods-charging-case-bluetooth-headset-mic/p/itm0ff1a0e3d5eb4?pid=ACCFF2R85H8YG4WH";12490;"2021-06-07"
"https://www.flipkart.com/boat-rockerz-450-bluetooth-headset/p/itm4ce6f3c6f6758?pid=ACCFQKGCGHHCDNHT";1499;"2021-06-07"
"https://www.flipkart.com/jbl-under-armour-sport-heart-rate-bluetooth-headset/p/itmc215df6ab738f?pid=ACCFG4DKHZSVQXHH";12999;"2021-06-07"
"https://www.flipkart.com/boat-rockerz-315-sva-google-assistant-bluetooth-headset/p/itm3da5fd3fc953e?pid=ACCFMJNNGUEMQZRF";1999;"2021-06-07"
"https://www.flipkart.com/jbl-t500-wired-headset/p/itm43964a567150c?pid=ACCFA2PPHEGDHN5H";2299;"2021-06-07"
"https://www.flipkart.com/sony-wi-c310-wireless-in-ear-headphones-mic-bluetooth-headset/p/itm0fb6927b744f2?pid=ACCG2WTAPSTU7XD2";3290;"2021-06-07"
"https://www.flipkart.com/apple-mmtn2zm-a-wired-headset/p/itmc4cc948b1bc9e?pid=ACCEMZ7HPZUZHFPM";1799;"2021-06-07"
"https://www.flipkart.com/skullcandy-ink-d-headset-mic/p/itmcfff103248e4d?pid=ACCDDEHYQ3FZF9FE";929;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-calyx-earphone-wired-headset/p/itm9dc825057b09f?pid=ACCFNDNTEACUXNRJ";215;"2021-06-07"
"https://www.flipkart.com/sennheiser-hd-2-30i-without-mic-headset/p/itmef0a39efa3eb0?pid=ACCES9QAQ68MTRHH";5999;"2021-06-07"
"https://www.flipkart.com/skullcandy-smokin-buds-2-bluetooth-headset-mic/p/itm4805bb757fd3c?pid=ACCEAD5KNGDBJYPE";3474;"2021-06-07"
"https://www.flipkart.com/jbl-endurance-jump-bluetooth-headset/p/itm288ea4523e7af?pid=ACCF8CF7GZTNNFU4";3999;"2021-06-07"
"https://www.flipkart.com/jbl-tune-115bt-bluetooth-headset/p/itm39adb6e94149a?pid=ACCFMJBJEBEJG5NK";1890;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-rhythm-wireless-bt-earphone-mic-bluetooth-headset/p/itm783063c0b17fd?pid=ACCFV5Y8QDZ4MDY6";940;"2021-06-07"
"https://www.flipkart.com/beats-mxya2zm-a-bluetooth-headset/p/itm4d33e0b748b70?pid=ACCFY7EHQYYDR8HD";21500;"2021-06-07"
"https://www.flipkart.com/skullcandy-ink-d-bluetooth-headset-mic/p/itm188cc604f56c5?pid=ACCEKZEPUEYGYHJQ";2999;"2021-06-07"
"https://www.flipkart.com/sony-mdr-ex15ap-gaming-earphones-clear-sound-extra-bass-mic-wired-headset/p/itm0f17931abbaec?pid=ACCG3YW2QYB58CK4";890;"2021-06-07"
"https://www.flipkart.com/jbl-endurance-run-wired-headset/p/itm8a6b4c228e561?pid=ACCF8CF7TWT4MSV5";1049;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-bro-wired-headset/p/itmf9380416973bb?pid=ACCFHECY3ZNGWSRH";210;"2021-06-07"
"https://www.flipkart.com/skullcandy-indy-evo-bluetooth-headset/p/itmbbe45da20e0d3?pid=ACCFWGEYZUPABFXD";6599;"2021-06-07"
"https://www.flipkart.com/boat-bassheads-100-wired-headset/p/itm932311186c12a?pid=ACCF94NHDZAGWDS4";399;"2021-06-07"
"https://www.flipkart.com/jbl-live-220bt-bluetooth-headset/p/itmd680ecb572ded?pid=ACCFKFZDSFHXRFHG";4499;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-tulip-wired-headset/p/itm511b3dbf2aa7a?pid=ACCFT7GYWRFFSD9F";299;"2021-06-07"
"https://www.flipkart.com/skullcandy-jib-headset-mic/p/itm7895dc09eb096?pid=ACCF6C86FVXGXUNJ";779;"2021-06-07"
"https://www.flipkart.com/jbl-harman-tune-700bt-bluetooth-headset/p/itmee5747acb5ae0?pid=ACCFPCGPRHPCNDHY";4799;"2021-06-07"
"https://www.flipkart.com/sony-mdr155apblack-wired-headset/p/itm7cb007dc192b2?pid=ACCF2Z2MNPHZV69F";1265;"2021-06-07"
"https://www.flipkart.com/jbl-c150si-wired-headset/p/itm4c2c40da7accf?pid=ACCEHDJPSVZ4UYXP";699;"2021-06-07"
"https://www.flipkart.com/zebronics-bluetooth-headset/p/itm476d58afc3c9c?pid=ACCFUYYKYZMAGZFZ";399;"2021-06-07"
"https://www.flipkart.com/sony-ex155-wired-headset/p/itmf0b70fe3b1f57?pid=ACCEVAEWU4VHK24E";1099;"2021-06-07"
"https://www.flipkart.com/boat-rockerz-255f-bluetooth-headset/p/itm07fd890982742?pid=ACCFN6887NJPGZGT";1234;"2021-06-07"
"https://www.flipkart.com/jabra-elite-75t-active-noise-cancellation-enabled-bluetooth-headset/p/itm690a45e8ef288?pid=ACCFNSWFBHDB8BD7";11999;"2021-06-07"
"https://www.flipkart.com/boat-bassheads-242-wired-headset/p/itm9f487ea4627ba?pid=ACCFUXTX7BAJEF4P";549;"2021-06-07"
"https://www.flipkart.com/skullcandy-ink-d-headset-mic/p/itmc722f717c6b56?pid=ACCEHGSWG7AWC4GY";999;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-bang-bluetooth-headset/p/itmc12be40c0f576?pid=ACCFKTFZX6HCA5AJ";799;"2021-06-07"
"https://www.flipkart.com/boat-rockerz-450-bluetooth-headset/p/itmdb79a9c0cb56f?pid=ACCFEHZ8GSGWMMSD";1499;"2021-06-07"
"https://www.flipkart.com/bose-quitecomfort-earbuds-active-noise-cancellation-enabled-bluetooth-headset/p/itm3a3f3bb93b33a?pid=ACCFVDF7EWCUUZXF";26990;"2021-06-07"
"https://www.flipkart.com/skullcandy-sesh-s2tdw-m723-bluetooth-headset/p/itmcc81037cd0005?pid=ACCFNFAZMY7XZQGJ";4499;"2021-06-07"
"https://www.flipkart.com/boat-rockerz-255f-pro-bluetooth-headset/p/itm61f7b7ecad425?pid=ACCFZ95MTQSX7NFD";1499;"2021-06-07"
"https://www.flipkart.com/sony-wh-ch710n-active-noise-cancellation-enabled-bluetooth-headset/p/itme94290baa4442?pid=ACCFRKMPBUCFX9XH";8990;"2021-06-07"
"https://www.flipkart.com/jbl-c50hi-wired-headset/p/itm59f107156a98c?pid=ACCFAMFQGCNEB8HM";499;"2021-06-07"
"https://www.flipkart.com/sony-wi-c200-bluetooth-headset/p/itm4870746e24d99?pid=ACCFGWBD7F3SGBRG";2149;"2021-06-07"
"https://www.flipkart.com/sony-ex255ap-wired-headset/p/itme75dd340262a3?pid=ACCEVAEWWYUHEJHT";1699;"2021-06-07"
"https://www.flipkart.com/boat-bassheads-182-wired-headset/p/itm9902fdfd61fff?pid=ACCFDJAKMFH7YVPQ";499;"2021-06-07"
"https://www.flipkart.com/sony-wf-xb700-18-hours-battery-life-bluetooth-headset/p/itm9b6c7b60f9f2d?pid=ACCFSNJEVNWCUSH7";7990;"2021-06-07"
"https://www.flipkart.com/jbl-t500-bluetooth-headset/p/itm3b802c92cd064?pid=ACCFA2PPRSTCADBA";3099;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-pleasant-headphones-double-pin-wired-headset/p/itm39c00d34bfb01?pid=ACCG2Y9EGG58TBNW";399;"2021-06-07"
"https://www.flipkart.com/sennheiser-momentum-true-wireless-bluetooth-headset/p/itm9e99e3c5e4ba0?pid=ACCFEE6F9NWWV6WP";12999;"2021-06-07"
"https://www.flipkart.com/jbl-endurance-sprint-bluetooth-headset/p/itmf8687d4187253?pid=ACCF8CF7Z6A54DQ5";3299;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-attraction-stereo-wired-headset/p/itm083d1ee9f5e8e?pid=ACCFP4ZU787GX3WX";220;"2021-06-07"
"https://www.flipkart.com/zebronics-zb-buds-20-wired-earphone-red-headset/p/itmcdba81d9544af?pid=ACCGFQ6UXGMM4YH2";399;"2021-06-07"
"https://www.flipkart.com/zebronics-zeb-duke-101-wireless-headphone-mic-bluetooth-headset/p/itm2fbc614256394?pid=ACCGFJN8ZKGVWQBD";1099;"2021-06-07"
"https://www.flipkart.com/boat-airdopes-461-bluetooth-headset/p/itm0051169c37523?pid=ACCFV5P52DW48KVG";2999;"2021-06-07"
"https://www.flipkart.com/jbl-endurance-dive-bluetooth-headset/p/itm43fb4ffbb5c97?pid=ACCF8CF73ZBWD8JJ";4999;"2021-06-07"
"https://www.flipkart.com/sony-zx110-wired-without-mic-headset/p/itm14a6fce6c58fa?pid=ACCDPUC4VJ5YGUFY";899;"2021-06-07"
"https://www.flipkart.com/boat-rockerz-450-pro-bluetooth-headset/p/itm1dd633bc66c39?pid=ACCGYUVXVVMZJRHF";1999;"2021-06-07"
"https://www.flipkart.com/jbl-jblt210gry-wired-headset/p/itma18db8490a131?pid=ACCF45EGHZKHV2UH";990;"2021-06-07"
